numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07643;20151021150000;101630;-60;5;30;4.200000;291.550000;278.050000;41;60000;0;0;0;mq;0;mq;mq;mq;mq;101540;mq;mq;20;mq;mq;mq;mq;278.950000;mq;mq;6.100000;6.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20151021150000;101480;-70;5;310;6.400000;289.550000;278.550000;48;30000;1;0;0;25;0;6800;30;20;12;101100;mq;mq;0;mq;mq;mq;mq;281.850000;mq;mq;8.700000;9.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;6800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20151021150000;101360;-80;6;250;5.100000;290.750000;281.050000;53;20000;2;1;1;90;7;1250;35;61;60;99790;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;7;6;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20151021150000;101290;-100;6;220;5.500000;292.150000;283.150000;56;30000;3;0;0;50;2;1250;31;20;12;100980;mq;mq;-90;mq;mq;mq;mq;285.050000;mq;mq;7.500000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1200;2;0;7000;mq;mq;mq;mq;mq;mq;
07747;20151021150000;101830;-60;5;310;9.700000;289.550000;277.250000;44;24140;0;mq;mq;mq;2;1750;mq;mq;mq;101300;mq;mq;240;mq;mq;mq;mq;282.750000;mq;mq;15.300000;16.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1560;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20151021150000;101000;-10;5;220;3.500000;292.450000;287.950000;75;30000;2;2;2;90;4;800;38;20;16;100890;mq;mq;-140;mq;mq;mq;mq;286.250000;mq;mq;4.500000;4.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;6;800;2;8;1100;5;2;6200;7;2;6500;
07790;20151021150000;101240;-40;6;10;1.800000;290.350000;280.950000;54;40000;2;2;2;90;2;1250;35;20;12;101100;mq;mq;-40;mq;mq;mq;mq;285.650000;mq;mq;6.700000;8.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;1200;7;0;6500;mq;mq;mq;mq;mq;mq;
61996;20151021150000;101780;30;3;320;8.700000;287.350000;285.750000;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101430;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20151021150000;99790;-120;8;310;9.300000;282.350000;280.150000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98050;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;17.000000;-10;mq;mq;mq;mq;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20151021150000;99500;-310;8;350;5.100000;275.950000;273.050000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99130;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;13.400000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20151021150000;101720;100;3;280;12.300000;283.250000;274.850000;56;30000;1;8;6;50;4;1250;32;20;11;101630;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;19.500000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;4;8;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20151021150000;101500;30;0;110;5.700000;304.450000;296.850000;64;45000;0;mq;mq;75;mq;800;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20151021150000;101450;40;0;90;6.600000;305.450000;297.550000;63;60000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101360;mq;mq;-50;mq;mq;mq;mq;mq;mq;mq;9.300000;9.800000;-10;mq;mq;mq;mq;-0.100000;0.200000;0.600000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20151021150000;101260;150;8;110;2.100000;307.550000;294.250000;46;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101200;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;4.600000;6.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20151021150000;101330;-100;8;50;4.600000;305.450000;295.250000;55;60000;0;mq;mq;mq;5;1250;mq;mq;mq;101240;mq;mq;-50;mq;mq;mq;mq;294.750000;mq;mq;7.500000;7.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;5;mq;1200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20151021150000;101300;160;8;100;2.400000;306.450000;294.650000;50;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100120;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;4.800000;4.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20151021150000;99030;-30;5;110;5.100000;260.350000;250.650000;40;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98470;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
